sku,store,rating,title,review,reviewer
VA01,venia_us,"Quality=4,Value=4,Price=4",ONE OF MY FAVORITES,This scarf is actually nicer in person than the pictures online show. It's so soft and easily works with just about every outfit. ,Eva
VA01,venia_us,"Quality=5,Value=5,Price=5",BEAUTIFUL SCARF,I adore this beautiful scarf. It is the perfect year-round weight. It also washes and wears very easily.  ,Ainsley
VA02,venia_us,"Quality=4,Value=5,Price=3",SUPER VERSATILE,This scarf came with instructions on how to wear many different ways which is perfect for someone like me. ,Marie
VA02,venia_us,"Quality=5,Value=4,Price=4",BEAUTIFUL SCARF,"No matter when I shop this store, or what I'm looking for, I always wind up with a scarf. They're just too lovely to resist!",Elizabeth
VA03,venia_us,"Quality=3,Value=4,Price=3",NOT FOR WARMTH,This scarf is very pretty and I've received lots of compliments. But I would say it's more decorative and less warm. ,Laura
VA03,venia_us,"Quality=4,Value=5,Price=3",SUPER VERSATILE,This scarf came with instructions on how to wear many different ways which is perfect for someone like me. ,Jaci
VA04,venia_us,"Quality=4,Value=4,Price=4",ONE OF MY FAVORITES,This scarf is actually nicer in person than the pictures online show. It's so soft and easily works with just about every outfit. ,Grace
VA04,venia_us,"Quality=4,Value=5,Price=3",SUPER VERSATILE,This scarf came with instructions on how to wear many different ways which is perfect for someone like me. ,Mia
VA05,venia_us,"Quality=4,Value=4,Price=4",BEAUTIFUL SCARF,"No matter when I shop this store, or what I'm looking for, I always wind up with a scarf. They're just too lovely to resist!",Sarah
VA05,venia_us,"Quality=4,Value=5,Price=3",SUPER VERSATILE,This scarf came with instructions on how to wear many different ways which is perfect for someone like me. ,Sharon
VA06,venia_us,"Quality=4,Value=5,Price=3",SUPER VERSATILE,This scarf came with instructions on how to wear many different ways which is perfect for someone like me. ,Lisa
VA06,venia_us,"Quality=2,Value=3,Price=3",NOT EASY CARE,I love this scarf and look forward to having it as a long time staple. Unfortunately it isn't wash and wear so its longevity is TBD.,Talia
VA07,venia_us,"Quality=2,Value=4,Price=4",RUNS LARGE,I with I could keep this belt but it's far too large for me. I got the XS which usually works for me in other Venia belts.,Eva
VA07,venia_us,"Quality=4,Value=5,Price=5",ABSOLUTE STAPLE,Love this belt. The color and style make it so versatile and it works with pretty much my entire wardrobe. Total essential. ,Ainsley
VA08,venia_us,"Quality=4,Value=5,Price=5",ABSOLUTE STAPLE,Love this belt. The color and style make it so versatile and it works with pretty much my entire wardrobe. Total essential. ,Marie
VA08,venia_us,"Quality=2,Value=4,Price=4",RUNS LARGE,I with I could keep this belt but it's far too large for me. I got the XS which usually works for me in other Venia belts.,Elizabeth
VA09,venia_us,"Quality=2,Value=4,Price=4",RUNS LARGE,I with I could keep this belt but it's far too large for me. I got the XS which usually works for me in other Venia belts.,Laura
VA09,venia_us,"Quality=4,Value=5,Price=5",ABSOLUTE STAPLE,Love this belt. The color and style make it so versatile and it works with pretty much my entire wardrobe. Total essential. ,Jaci
VA10,venia_us,"Quality=4,Value=5,Price=5",ABSOLUTE STAPLE,Love this belt. The color and style make it so versatile and it works with pretty much my entire wardrobe. Total essential. ,Grace
VA10,venia_us,"Quality=2,Value=4,Price=4",RUNS LARGE,I with I could keep this belt but it's far too large for me. I got the XS which usually works for me in other Venia belts.,Mia
VD01,venia_us,"Quality=4,Value=4,Price=4",COMFORTABLE & STYLISH,I love the lightness and softness of this fabric. It allows me to look very put together and still feel extremely comfortable. Win win!,Sarah
VD01,venia_us,"Quality=5,Value=5,Price=5",INSTANT CLASSIC,I always love this style dress. Offers a great length and super flattering in all the right places. It's my new favorite!,Sharon
VD02,venia_us,"Quality=4,Value=5,Price=3",PERFECT FOR DANCING,This dress has the perfect amount of twirl to it. It feels like it was made for dancing so can't wait to take it for a test drive!,Lisa
VD02,venia_us,"Quality=4,Value=4,Price=4",BEAUTIFUL PATTERN,The details on this dress are outstanding. If I had one complaint it would be the price. But worth it based on how I feel when I wear it. ,Talia
VD03,venia_us,"Quality=5,Value=4,Price=4",GREAT FOR CURVES,I always love this style dress. Offers a great length and super flattering in all the right places. It's my new favorite!,Eva
VD03,venia_us,"Quality=4,Value=4,Price=5",THIS DRESS IS SO FUN,It fits true to size and the fabric lays nicely (not clingy). This dress is extremely lightweight and makes me feel amazing. ,Ainsley
VD04,venia_us,"Quality=3,Value=4,Price=4",DRESS UP OR DOWN,"This is a fantastic, versatile dress! My only complaint is it falls just a tad short on my 5'10"" frame, but I'm used to that problem!",Marie
VD04,venia_us,"Quality=5,Value=5,Price=5",BUILT-IN SUPPORT,"The built-in bra on this is perfection. It's so diificult to find the right support with spaghetti straps, and now it's a non-issue. Bravo!",Elizabeth
VD05,venia_us,"Quality=3,Value=4,Price=4","GORGEOUS PRINT, FITS SMALL",The print is gorgeous as is the styling. But I usually wear a size 8 and it was tight on the waist. The size 10 fits like an 8.,Laura
VD05,venia_us,"Quality=3,Value=4,Price=4",BEAUTIFUL PATTERN,"This is a fantastic dress! My only complaint is it falls just a tad short on my 5'10"" frame, but I'm used to that problem!",Jaci
VD06,venia_us,"Quality=4,Value=4,Price=5",PERFECT FOR PETITES,"This dress has the perfect profile for my petite figure. While I'm only 5'3"", I do have some problem areas, and this fits beautifully. ",Grace
VD06,venia_us,"Quality=5,Value=5,Price=4",THIS DRESS IS SO FUN,It fits true to size and the fabric lays nicely (not clingy). This dress is extremely lightweight and makes me feel amazing. ,Mia
VD07,venia_us,"Quality=4,Value=4,Price=3",PERFECT FOR PETITES,"This dress has the perfect profile for my petite figure. While I'm only 5'3"", I do have some problem areas, and this fits beautifully. ",Sarah
VD07,venia_us,"Quality=4,Value=5,Price=4",FLATTERING DRAPE,The drape on this dress is magnificent. I carry most of my weight in my middle and this style perfectly camouflages all the right spots.  ,Sharon
VD08,venia_us,"Quality=4,Value=4,Price=4",BEAUTIFUL PATTERN,"This is a fantastic dress! My only complaint is it falls just a tad short on my 5'10"" frame, but I'm used to that problem!",Lisa
VD08,venia_us,"Quality=4,Value=3,Price=4",BEACH READY ,"This is my favorite wake up and go dress. It requires absolutey no effort, and looks great on. Even over a bathing suit! ",Talia
VD09,venia_us,"Quality=4,Value=5,Price=5",LOVE IT,"This is a fantastic dress! My only complaint is it falls just a tad short on my 5'10"" frame, but I'm used to that problem!",Eva
VD09,venia_us,"Quality=5,Value=4,Price=5",SUPER SOFT,"Love a good t-shirt dress, and this is no exception. Super soft material and washes and wears well. I'm 5'6"" and the length was perfect. ",Ainsley
VD10,venia_us,"Quality=3,Value=3,Price=3",TOO SHORT,"While I adore the style and detail of this dress, it cannot be worn on its own. Too short and material is see through. ",Marie
VD10,venia_us,"Quality=4,Value=3,Price=4",MAYBE AS A LAYER,"I agree with other reviewers that this is not what I would qualify as a ""dress"". That said, I love it and layer appropriately. ",Elizabeth
VD11,venia_us,"Quality=5,Value=4,Price=4",THIS DRESS IS SO FUN,It fits true to size and the fabric lays nicely (not clingy). This dress is extremely lightweight and makes me feel amazing. ,Laura
VD11,venia_us,"Quality=3,Value=3,Price=3",NOT FOR CURVES,This dress is just not for me. I think maybe I'm just a little too curvy. The pleats do not flatter at all! Disappointed as I loved it online. ,Jaci
VD12,venia_us,"Quality=4,Value=4,Price=3",VERSATILE DREAM,I love that it only takes a belt to completely transform this dress. I've even used a scarf as a belt for a nice boho touch.,Grace
VD12,venia_us,"Quality=5,Value=4,Price=4",BEACH READY ,"This is my favorite wake up and go dress. It requires absolutey no effort, and looks great on. Even over a bathing suit! ",Mia
VP01,venia_us,"Quality=5,Value=4,Price=5",GREAT FIT,"Love the fit of these! After having them for a while, I would say hang to dry is likely best to maintain color and crispness of pants.",Sarah
