sku,store_view_code,visibility
VA22-SI-NA,default,Not Visible Individually
VA22-SI-NA,luma_de,Not Visible Individually
VA21-GO-NA,default,Not Visible Individually
VA21-GO-NA,luma_de,Not Visible Individually
VA20-SI-NA,default,Not Visible Individually
VA20-SI-NA,luma_de,Not Visible Individually
VA19-GO-NA,default,Not Visible Individually
VA19-GO-NA,luma_de,Not Visible Individually
VA18-GO-NA,default,Not Visible Individually
VA18-GO-NA,luma_de,Not Visible Individually
VA17-SI-NA,default,Not Visible Individually
VA17-SI-NA,luma_de,Not Visible Individually
VA16-GO-NA,default,Not Visible Individually
VA16-GO-NA,luma_de,Not Visible Individually
VA15-SI-NA,default,Not Visible Individually
VA15-SI-NA,luma_de,Not Visible Individually
VA14-SI-NA,default,Not Visible Individually
VA14-SI-NA,luma_de,Not Visible Individually
VA13-GO-NA,default,Not Visible Individually
VA13-GO-NA,luma_de,Not Visible Individually
VA12-SI-NA,default,Not Visible Individually
VA12-SI-NA,luma_de,Not Visible Individually
VA11-GO-NA,default,Not Visible Individually
VA11-GO-NA,luma_de,Not Visible Individually
VT12,default,Not Visible Individually
VT12,luma_de,Not Visible Individually
VT11,default,Not Visible Individually
VT11,luma_de,Not Visible Individually
VT10,default,Not Visible Individually
VT10,luma_de,Not Visible Individually
VT09,default,Not Visible Individually
VT09,luma_de,Not Visible Individually
VT08,default,Not Visible Individually
VT08,luma_de,Not Visible Individually
VT07,default,Not Visible Individually
VT07,luma_de,Not Visible Individually
VT06,default,Not Visible Individually
VT06,luma_de,Not Visible Individually
VT05,default,Not Visible Individually
VT05,luma_de,Not Visible Individually
VT04,default,Not Visible Individually
VT04,luma_de,Not Visible Individually
VT03,default,Not Visible Individually
VT03,luma_de,Not Visible Individually
VT02,default,Not Visible Individually
VT02,luma_de,Not Visible Individually
VT01,default,Not Visible Individually
VT01,luma_de,Not Visible Individually
VSW12,default,Not Visible Individually
VSW12,luma_de,Not Visible Individually
VSW11,default,Not Visible Individually
VSW11,luma_de,Not Visible Individually
VSW10,default,Not Visible Individually
VSW10,luma_de,Not Visible Individually
VSW09,default,Not Visible Individually
VSW09,luma_de,Not Visible Individually
VSW08,default,Not Visible Individually
VSW08,luma_de,Not Visible Individually
VSW07,default,Not Visible Individually
VSW07,luma_de,Not Visible Individually
VSW06,default,Not Visible Individually
VSW06,luma_de,Not Visible Individually
VSW05,default,Not Visible Individually
VSW05,luma_de,Not Visible Individually
VSW04,default,Not Visible Individually
VSW04,luma_de,Not Visible Individually
VSW03,default,Not Visible Individually
VSW03,luma_de,Not Visible Individually
VSW02,default,Not Visible Individually
VSW02,luma_de,Not Visible Individually
VSW01,default,Not Visible Individually
VSW01,luma_de,Not Visible Individually
VSK12,default,Not Visible Individually
VSK12,luma_de,Not Visible Individually
VSK11,default,Not Visible Individually
VSK11,luma_de,Not Visible Individually
VSK10,default,Not Visible Individually
VSK10,luma_de,Not Visible Individually
VSK09,default,Not Visible Individually
VSK09,luma_de,Not Visible Individually
VSK08,default,Not Visible Individually
VSK08,luma_de,Not Visible Individually
VSK07,default,Not Visible Individually
VSK07,luma_de,Not Visible Individually
VSK06,default,Not Visible Individually
VSK06,luma_de,Not Visible Individually
VSK05,default,Not Visible Individually
VSK05,luma_de,Not Visible Individually
VSK04,default,Not Visible Individually
VSK04,luma_de,Not Visible Individually
VSK03,default,Not Visible Individually
VSK03,luma_de,Not Visible Individually
VSK02,default,Not Visible Individually
VSK02,luma_de,Not Visible Individually
VSK01,default,Not Visible Individually
VSK01,luma_de,Not Visible Individually
VP12,default,Not Visible Individually
VP12,luma_de,Not Visible Individually
VP11,default,Not Visible Individually
VP11,luma_de,Not Visible Individually
VP10,default,Not Visible Individually
VP10,luma_de,Not Visible Individually
VP09,default,Not Visible Individually
VP09,luma_de,Not Visible Individually
VP08,default,Not Visible Individually
VP08,luma_de,Not Visible Individually
VP07,default,Not Visible Individually
VP07,luma_de,Not Visible Individually
VP06,default,Not Visible Individually
VP06,luma_de,Not Visible Individually
VP05,default,Not Visible Individually
VP05,luma_de,Not Visible Individually
VP04,default,Not Visible Individually
VP04,luma_de,Not Visible Individually
VP03,default,Not Visible Individually
VP03,luma_de,Not Visible Individually
VP02,default,Not Visible Individually
VP02,luma_de,Not Visible Individually
VP01,default,Not Visible Individually
VP01,luma_de,Not Visible Individually
VD12,default,Not Visible Individually
VD12,luma_de,Not Visible Individually
VD11,default,Not Visible Individually
VD11,luma_de,Not Visible Individually
VD10,default,Not Visible Individually
VD10,luma_de,Not Visible Individually
VD09,default,Not Visible Individually
VD09,luma_de,Not Visible Individually
VD08,default,Not Visible Individually
VD08,luma_de,Not Visible Individually
VD07,default,Not Visible Individually
VD07,luma_de,Not Visible Individually
VD06,default,Not Visible Individually
VD06,luma_de,Not Visible Individually
VD05,default,Not Visible Individually
VD05,luma_de,Not Visible Individually
VD04,default,Not Visible Individually
VD04,luma_de,Not Visible Individually
VD03,default,Not Visible Individually
VD03,luma_de,Not Visible Individually
VD02,default,Not Visible Individually
VD02,luma_de,Not Visible Individually
VD01,default,Not Visible Individually
VD01,luma_de,Not Visible Individually
VA10,default,Not Visible Individually
VA10,luma_de,Not Visible Individually
VA09,default,Not Visible Individually
VA09,luma_de,Not Visible Individually
VA08,default,Not Visible Individually
VA08,luma_de,Not Visible Individually
VA07,default,Not Visible Individually
VA07,luma_de,Not Visible Individually
VA06,default,Not Visible Individually
VA06,luma_de,Not Visible Individually
VA05,default,Not Visible Individually
VA05,luma_de,Not Visible Individually
VA04,default,Not Visible Individually
VA04,luma_de,Not Visible Individually
VA03,default,Not Visible Individually
VA03,luma_de,Not Visible Individually
